symbol,fold_id,baseline_sharpe,meta_sharpe,delta_sharpe,baseline_expectancy,meta_expectancy,delta_expectancy,baseline_max_dd,meta_max_dd,delta_max_dd,baseline_trade_count,meta_trade_count,delta_trade_count
EURUSD,12,2.9120359583444273,2.9120359583444273,0.0,0.0007830410128079389,0.0007830410128079389,0.0,-0.0012861117724950466,-0.0012861117724950466,0.0,4.0,4.0,0.0
EURUSD,13,-4.964136064312666,-4.964136064312666,0.0,-0.0008664402566915617,-0.0008664402566915617,0.0,-0.0040108193684271765,-0.0040108193684271765,0.0,2.0,2.0,0.0
EURUSD,14,-3.2380619631125125,-3.2380619631125125,0.0,-0.0004386137219663762,-0.0004386137219663762,0.0,-0.004917913021792342,-0.004917913021792342,0.0,3.0,3.0,0.0
GBPUSD,0,-1.1039474539029177,-1.1039474539029177,0.0,0.0006436120995127183,0.0006436120995127183,0.0,-0.003307589521267973,-0.003307589521267973,0.0,5.0,5.0,0.0
GBPUSD,1,4.68604402589976,4.68604402589976,0.0,0.0011580067186378244,0.0011580067186378244,0.0,-0.0016144516285347965,-0.0016144516285347965,0.0,5.0,5.0,0.0
GBPUSD,2,-0.4480605957435343,-0.4480605957435343,0.0,0.00047638717909501095,0.00047638717909501095,0.0,-0.003267736350909378,-0.003267736350909378,0.0,3.0,3.0,0.0
GBPUSD,3,0.6440347894889397,-1.5917969452167984,-2.235831734705738,0.0006859813888308189,0.00040462341936071017,-0.0002813579694701087,-0.005516480165233095,-0.005516480165233095,0.0,7.0,5.0,-2.0
GBPUSD,4,-2.304388537815131,-2.304388537815131,0.0,0.0002209099837659817,0.0002209099837659817,0.0,-0.002612198006455402,-0.002612198006455402,0.0,4.0,4.0,0.0
GBPUSD,5,-4.0777334201495945,-4.0777334201495945,0.0,-0.0002894420621732592,-0.0002894420621732592,0.0,-0.005416123242830806,-0.005416123242830806,0.0,5.0,5.0,0.0
GBPUSD,6,-1.9065441792816396,0.382983862739187,2.2895280420208266,5.017240325668645e-05,0.00041029094733730404,0.00036011854408061757,-0.004932740527543666,-0.0028863479167885453,0.002046392610755121,6.0,5.0,-1.0
GBPUSD,7,-1.6021635502855307,-1.6021635502855307,0.0,0.00027894698357270773,0.00027894698357270773,0.0,-0.002750578320508401,-0.002750578320508401,0.0,5.0,5.0,0.0
GBPUSD,8,-2.780888093614217,-2.780888093614217,0.0,-0.00010277838733955603,-0.00010277838733955603,0.0,-0.004086504026489024,-0.004086504026489024,0.0,4.0,4.0,0.0
GBPUSD,9,-0.37795086160425867,-0.37795086160425867,0.0,0.000504130536312403,0.000504130536312403,0.0,-0.003521706982327122,-0.003521706982327122,0.0,4.0,4.0,0.0
GBPUSD,10,0.37500007584691963,1.8558743471444277,1.480874271297508,0.00038341157133365606,0.0006743564982836022,0.0002909449269499461,-0.0029321369955991328,-0.0029321369955991328,0.0,6.0,5.0,-1.0
GBPUSD,11,1.3540803173608702,1.3540803173608702,0.0,0.0005918394156130342,0.0005918394156130342,0.0,-0.0023626836711262422,-0.0023626836711262422,0.0,4.0,4.0,0.0
GBPUSD,12,-2.7157428563992183,-2.7157428563992183,0.0,-2.968943151246137e-05,-2.968943151246137e-05,0.0,-0.005051504305114696,-0.005051504305114696,0.0,5.0,5.0,0.0
GBPUSD,13,-4.794866298099752,-4.794866298099752,0.0,-0.00017776126339440085,-0.00017776126339440085,0.0,-0.003682924026185197,-0.003682924026185197,0.0,3.0,3.0,0.0
GBPUSD,14,-11.265897651715832,-8.73901872700896,2.526878924706873,-0.0009286218934616457,-0.0006646584359836274,0.00026396345747801834,-0.01165378879909762,-0.007403645360398503,0.004250143438699117,7.0,5.0,-2.0
