symbol,fold_id,split,entry_time,follow_through_probability,actual_label,actual_return,allow_trade
EURUSD,1,test,2020-05-11 05:00:00+00:00,0.5,1,0.0011120161033860163,1
EURUSD,1,test,2020-05-12 17:00:00+00:00,0.5,1,0.0036191169770356533,1
EURUSD,1,test,2020-05-16 13:00:00+00:00,0.5,0,0.00287156860494825,1
EURUSD,2,test,2020-05-23 02:00:00+00:00,0.5,0,0.0017406912183510212,1
EURUSD,2,test,2020-05-25 15:00:00+00:00,0.5,0,0.0006660917263797703,1
EURUSD,2,test,2020-06-06 19:00:00+00:00,0.5,0,-0.0017075917317253362,1
EURUSD,3,test,2020-06-17 02:00:00+00:00,0.5,0,0.0013042230361669524,1
EURUSD,3,test,2020-06-21 09:00:00+00:00,0.5,1,0.0034713888528122303,1
EURUSD,4,test,2020-06-29 09:00:00+00:00,0.5,1,-0.0007604549888473953,1
EURUSD,4,test,2020-07-04 07:00:00+00:00,0.5,1,0.004148658060626532,1
EURUSD,4,test,2020-07-15 07:00:00+00:00,0.5,0,-0.0012494407853351017,1
EURUSD,4,test,2020-07-18 09:00:00+00:00,0.5,1,-0.0005619657231882657,1
EURUSD,6,test,2020-08-13 04:00:00+00:00,0.5,0,7.762925272925068e-05,1
EURUSD,6,test,2020-08-14 13:00:00+00:00,0.5,0,-0.0010972639183080366,1
EURUSD,6,test,2020-08-19 19:00:00+00:00,0.5,0,-0.0007267831265871748,1
EURUSD,6,test,2020-08-20 18:00:00+00:00,0.5,0,-0.0005682077747725477,1
EURUSD,6,test,2020-08-23 19:00:00+00:00,0.5,1,0.0008067137726526237,1
EURUSD,6,test,2020-08-27 06:00:00+00:00,0.5,1,0.000541179426482131,0
EURUSD,7,test,2020-09-01 21:00:00+00:00,0.5,1,0.0010547779113505027,1
EURUSD,7,test,2020-09-06 13:00:00+00:00,0.5,1,0.0027703038288470214,1
EURUSD,7,test,2020-09-18 18:00:00+00:00,0.5,0,-0.0009032270581952694,1
EURUSD,8,test,2020-09-26 00:00:00+00:00,0.5,0,-0.0004222860897017764,1
EURUSD,8,test,2020-09-29 08:00:00+00:00,0.5,1,0.0032851296646522763,1
EURUSD,8,test,2020-10-01 15:00:00+00:00,0.5,0,0.004558281567175027,1
EURUSD,9,test,2020-10-14 03:00:00+00:00,0.5,1,-0.0002548045560384713,1
EURUSD,9,test,2020-10-16 22:00:00+00:00,0.5,1,0.0037187519994997817,1
EURUSD,9,test,2020-10-20 13:00:00+00:00,0.5,1,-0.00023258511604510636,1
EURUSD,9,test,2020-10-22 02:00:00+00:00,0.5,0,-0.0006730376329582654,1
EURUSD,9,test,2020-10-25 19:00:00+00:00,0.5,1,0.002996744429561161,1
EURUSD,10,test,2020-11-08 23:00:00+00:00,0.5,1,-0.00014753503685419934,1
EURUSD,10,test,2020-11-12 07:00:00+00:00,0.5,0,-0.0013613160653696364,1
EURUSD,10,test,2020-11-18 19:00:00+00:00,0.5,0,-0.001237310190527122,1
EURUSD,11,test,2020-11-23 08:00:00+00:00,0.5,0,-0.00011085596950381239,1
EURUSD,11,test,2020-12-03 04:00:00+00:00,0.5,1,0.0006144936782785946,1
EURUSD,11,test,2020-12-05 23:00:00+00:00,0.5,1,0.0013584257051068036,1
EURUSD,12,test,2020-12-17 19:00:00+00:00,0.5,1,0.0011670269780646454,1
EURUSD,12,test,2020-12-22 02:00:00+00:00,0.5,1,0.0017316624210414475,1
EURUSD,12,test,2020-12-24 21:00:00+00:00,0.5,1,0.00038115078417516677,1
EURUSD,12,test,2021-01-01 08:00:00+00:00,0.5,1,-0.00014767613204950448,1
EURUSD,13,test,2021-01-13 21:00:00+00:00,0.5,0,-0.0015077362270795956,1
EURUSD,13,test,2021-01-17 23:00:00+00:00,0.5,0,-0.0002251442863035278,1
EURUSD,14,test,2021-01-25 09:00:00+00:00,0.5,0,0.0008450317634096103,1
EURUSD,14,test,2021-02-01 23:00:00+00:00,0.5,0,-0.0013030593688863421,1
EURUSD,14,test,2021-02-10 05:00:00+00:00,0.5,0,-0.0008578135604223967,1
GBPUSD,0,test,2020-04-07 19:00:00+00:00,0.8582444225966512,1,0.0007289342852949713,1
GBPUSD,0,test,2020-04-11 18:00:00+00:00,0.04268843975036027,0,0.00030053221468433937,1
GBPUSD,0,test,2020-04-14 17:00:00+00:00,0.392415009733903,0,0.000571490134286842,1
GBPUSD,0,test,2020-04-19 16:00:00+00:00,0.6868883699014658,1,0.002591789070655051,1
GBPUSD,0,test,2020-04-24 13:00:00+00:00,0.44235817856368004,0,-0.0009746852073576127,1
GBPUSD,1,test,2020-05-04 23:00:00+00:00,0.12587993676946585,0,0.0010492497056900111,1
GBPUSD,1,test,2020-05-06 22:00:00+00:00,0.983288956248102,1,0.0007485209998889268,1
GBPUSD,1,test,2020-05-08 19:00:00+00:00,0.1970760293356446,0,0.0006229478382705237,1
GBPUSD,1,test,2020-05-10 16:00:00+00:00,0.5472261659310442,0,0.0015996933684420149,1
GBPUSD,1,test,2020-05-16 17:00:00+00:00,0.99428602605181,1,0.0017696216808976454,1
GBPUSD,2,test,2020-05-24 03:00:00+00:00,0.05610004110559756,0,0.001114327059126871,1
GBPUSD,2,test,2020-05-27 05:00:00+00:00,0.012854115254001526,0,-0.000958099848748568,1
GBPUSD,2,test,2020-06-05 09:00:00+00:00,0.3548380355716248,0,0.0012729343269067299,1
GBPUSD,3,test,2020-06-08 11:00:00+00:00,0.5,0,0.0014731384927898243,1
GBPUSD,3,test,2020-06-13 12:00:00+00:00,0.5,0,-0.0012751786750834835,1
GBPUSD,3,test,2020-06-14 21:00:00+00:00,0.5,0,-0.0007271972972698391,1
GBPUSD,3,test,2020-06-17 05:00:00+00:00,0.5,1,0.001372728790481506,1
GBPUSD,3,test,2020-06-19 19:00:00+00:00,0.5,1,0.0011796257858855434,1
GBPUSD,3,test,2020-06-22 14:00:00+00:00,0.5,1,0.0009831131248805606,0
GBPUSD,3,test,2020-06-25 13:00:00+00:00,0.5,1,0.001795639500131621,0
GBPUSD,4,test,2020-07-03 02:00:00+00:00,0.38460206441892647,0,-0.0010985728159884143,1
GBPUSD,4,test,2020-07-04 10:00:00+00:00,0.9684619850087282,1,0.0009594643163069764,1
GBPUSD,4,test,2020-07-08 00:00:00+00:00,0.0631669403140834,1,0.0013900667688317462,1
GBPUSD,4,test,2020-07-10 11:00:00+00:00,0.358966870494589,0,-0.00036731833408638155,1
GBPUSD,5,test,2020-07-26 10:00:00+00:00,0.18917631053313527,0,-0.0005042631482486469,1
GBPUSD,5,test,2020-07-28 03:00:00+00:00,0.02920294064595359,0,0.0007188628921940024,1
GBPUSD,5,test,2020-07-30 07:00:00+00:00,0.46928001346141685,0,-0.0011553683614978281,1
GBPUSD,5,test,2020-08-01 19:00:00+00:00,0.9117982895755031,1,0.00044805106696283153,1
GBPUSD,5,test,2020-08-04 21:00:00+00:00,0.3745206238766617,1,-0.0009544927602766549,1
GBPUSD,6,test,2020-08-14 18:00:00+00:00,0.17056945718953465,0,-0.0010878945598414356,1
GBPUSD,6,test,2020-08-17 21:00:00+00:00,0.846434731142501,0,0.0003865970112021692,1
GBPUSD,6,test,2020-08-21 02:00:00+00:00,0.5890751432081955,1,0.0016510518641832698,1
GBPUSD,6,test,2020-08-24 19:00:00+00:00,0.0976669694222263,0,-0.0015020174416050035,1
GBPUSD,6,test,2020-08-27 09:00:00+00:00,0.004018226979383021,0,-0.0017504203171464015,0
GBPUSD,6,test,2020-08-28 20:00:00+00:00,0.9916810950419321,1,0.0026037178627475203,1
GBPUSD,7,test,2020-09-02 04:00:00+00:00,0.030764364968166417,0,-0.0011997028364040883,1
GBPUSD,7,test,2020-09-09 10:00:00+00:00,0.19917341334348387,1,0.0016572585151662126,1
GBPUSD,7,test,2020-09-12 04:00:00+00:00,0.5502712652078543,1,0.0009362994187480959,1
GBPUSD,7,test,2020-09-14 07:00:00+00:00,0.8791714527136649,1,0.001101220030265723,1
GBPUSD,7,test,2020-09-17 15:00:00+00:00,0.015228426133337698,0,-0.0011003402099124047,1
GBPUSD,8,test,2020-09-23 19:00:00+00:00,0.1501060069344418,0,-0.0008719742706371834,1
GBPUSD,8,test,2020-09-25 22:00:00+00:00,0.01292472810083078,0,-0.0018409438676810284,1
GBPUSD,8,test,2020-10-02 01:00:00+00:00,0.9618340979084167,1,0.0013691893315460916,1
GBPUSD,8,test,2020-10-08 08:00:00+00:00,0.9693434358839899,0,0.0009326152574138961,1
GBPUSD,9,test,2020-10-13 14:00:00+00:00,0.6765668333116548,1,0.0009105255888632617,1
GBPUSD,9,test,2020-10-14 21:00:00+00:00,0.4635568544008992,1,0.0006639601415218158,1
GBPUSD,9,test,2020-10-20 14:00:00+00:00,0.000126604170238634,0,-0.0014671776753770248,1
GBPUSD,9,test,2020-10-25 00:00:00+00:00,0.30082720972109944,1,0.0019092140902415592,1
GBPUSD,10,test,2020-11-03 04:00:00+00:00,0.936278433849462,1,0.0009846598492341567,1
GBPUSD,10,test,2020-11-06 09:00:00+00:00,0.6816592956980763,0,-0.0007204083408028426,1
GBPUSD,10,test,2020-11-09 13:00:00+00:00,0.75004023983118,0,0.0004582634152831025,1
GBPUSD,10,test,2020-11-12 18:00:00+00:00,0.7884710902525355,0,0.0008624293532754372,1
GBPUSD,10,test,2020-11-16 08:00:00+00:00,0.9037079528023902,1,0.0017868382144281573,1
GBPUSD,10,test,2020-11-19 02:00:00+00:00,0.6397619208458117,0,-0.0010713130634160749,0
GBPUSD,11,test,2020-11-24 20:00:00+00:00,0.03162490860358299,0,-0.0007862984740259547,1
GBPUSD,11,test,2020-11-28 00:00:00+00:00,0.8883234788158295,0,0.0018759293774536804,1
GBPUSD,11,test,2020-11-29 23:00:00+00:00,0.004730768158615492,0,0.0004901757818370236,1
GBPUSD,11,test,2020-12-09 17:00:00+00:00,0.8933761313639681,1,0.000787550977187387,1
GBPUSD,12,test,2020-12-14 15:00:00+00:00,0.011832617126461886,0,0.0005718920193383017,1
GBPUSD,12,test,2020-12-16 23:00:00+00:00,0.09695085241389156,0,-0.0008954807477782943,1
GBPUSD,12,test,2020-12-26 06:00:00+00:00,0.5452072915529318,0,-0.0002208395461041411,1
GBPUSD,12,test,2020-12-30 01:00:00+00:00,0.9735231846085008,0,-0.0006304338381591455,1
GBPUSD,12,test,2020-12-31 16:00:00+00:00,0.987504781646725,1,0.0010264149551409722,1
GBPUSD,13,test,2021-01-07 15:00:00+00:00,0.7834662532820779,0,-0.0005856083856070125,1
GBPUSD,13,test,2021-01-10 14:00:00+00:00,0.6385265376612678,1,0.0012110301304109642,1
GBPUSD,13,test,2021-01-15 14:00:00+00:00,0.04387337196731323,0,-0.0011587055349871543,1
GBPUSD,14,test,2021-01-26 10:00:00+00:00,0.07565228933445038,0,-0.0015510379998490763,1
GBPUSD,14,test,2021-01-31 01:00:00+00:00,0.035520126476592986,0,-0.0010476676290974217,1
GBPUSD,14,test,2021-02-01 10:00:00+00:00,0.03232221287340581,0,-0.0013613428515054159,0
GBPUSD,14,test,2021-02-04 14:00:00+00:00,0.4808794100954456,1,0.001066568080917099,1
GBPUSD,14,test,2021-02-06 07:00:00+00:00,0.6388576011075977,0,-0.0014193431242357011,1
GBPUSD,14,test,2021-02-09 05:00:00+00:00,0.014727822137297019,0,-0.001815718222807967,0
GBPUSD,14,test,2021-02-10 18:00:00+00:00,0.11777619581271663,0,-0.0003718115076530369,1
